CustomerID,Customer Name,Customer Type,City,Email Promotion,First Purchase Date,Last Purchase Date
11022,Joe L Lopez,Individual,Rhodes,Non-subscriber,2013-06-22 00:00:00.000,2013-06-22 00:00:00.000
11023,Chloe J Lee,Individual,Cliffside,Non-subscriber,2013-07-20 00:00:00.000,2014-06-16 00:00:00.000
11024,Chloe M Walker,Individual,Long Beach,Subscriber,2013-11-27 00:00:00.000,2013-12-26 00:00:00.000
11025,Marshall Sun,Individual,Cincinnati,Non-subscriber,2011-06-08 00:00:00.000,2014-03-27 00:00:00.000
11026,Joe Martinez,Individual,Bremerton,Subscriber,2011-06-25 00:00:00.000,2014-03-17 00:00:00.000
11027,Chloe L Hall,Individual,Beverly Hills,Subscriber,2011-06-18 00:00:00.000,2014-03-26 00:00:00.000
11028,Julia Smith,Individual,Fremont,Subscriber,2011-06-28 00:00:00.000,2014-03-09 00:00:00.000
11029,Joe M Gonzalez,Individual,Berkshire,Non-subscriber,2011-06-21 00:00:00.000,2014-04-13 00:00:00.000
11030,Julia Johnston,Individual,Bremerton,Subscriber,2011-07-08 00:00:00.000,2014-04-11 00:00:00.000
11031,Julia Williams,Individual,Oregon City,Non-subscriber,2011-07-04 00:00:00.000,2014-04-15 00:00:00.000
11032,Joe S Sanchez,Individual,Leipzig,Subscriber,2011-07-21 00:00:00.000,2014-04-10 00:00:00.000
11033,Julia M Jones,Individual,Renton,Non-subscriber,2011-07-18 00:00:00.000,2014-04-07 00:00:00.000
11034,Joe A Perez,Individual,Townsville,Subscriber,2011-07-04 00:00:00.000,2014-04-12 00:00:00.000
11035,Julia Brown,Individual,Haney,Non-subscriber,2011-07-09 00:00:00.000,2014-04-17 00:00:00.000
11036,Joe Martin,Individual,Sydney,Subscriber,2013-06-24 00:00:00.000,2013-06-24 00:00:00.000
11037,Joe E Gomez,Individual,Bracknell,Subscriber,2013-06-22 00:00:00.000,2013-06-22 00:00:00.000
11038,Joe L Diaz,Individual,Grevenbroich,Subscriber,2011-07-10 00:00:00.000,2014-04-14 00:00:00.000
11039,Julia B Davis,Individual,Woodland Hills,Non-subscriber,2011-07-10 00:00:00.000,2014-04-13 00:00:00.000
11040,Joe Hernandez,Individual,Cloverdale,Non-subscriber,2013-09-03 00:00:00.000,2013-09-03 00:00:00.000
11041,Marshall J Zhu,Individual,Drancy,Non-subscriber,2013-06-16 00:00:00.000,2013-06-16 00:00:00.000
11042,Joe Ashe,Individual,Colma,Non-subscriber,2013-06-23 00:00:00.000,2014-03-19 00:00:00.000
11043,Joe Jimenez,Individual,London,Non-subscriber,2013-10-08 00:00:00.000,2014-01-18 00:00:00.000
11044,Joe Moreno,Individual,Bellingham,Subscriber,2011-07-31 00:00:00.000,2014-04-10 00:00:00.000
11045,Julia R Miller,Individual,Redwood City,Subscriber,2013-09-10 00:00:00.000,2014-03-31 00:00:00.000
11046,Julia Wilson,Individual,Olympia,Non-subscriber,2011-07-09 00:00:00.000,2014-04-14 00:00:00.000
11047,Julia Moore,Individual,Colma,Non-subscriber,2011-07-06 00:00:00.000,2014-04-21 00:00:00.000
11048,Julia G Taylor,Individual,Fremont,Non-subscriber,2011-07-13 00:00:00.000,2014-05-27 00:00:00.000
11049,Julia Anderson,Individual,San Gabriel,Non-subscriber,2013-08-09 00:00:00.000,2014-03-31 00:00:00.000
11050,Julia B Thomas,Individual,Grossmont,Non-subscriber,2011-07-23 00:00:00.000,2014-04-21 00:00:00.000
11051,Joe F Alonso,Individual,Calgary,Subscriber,2014-05-31 00:00:00.000,2014-06-03 00:00:00.000
11052,Joe J Romero,Individual,Warrington,Non-subscriber,2011-07-20 00:00:00.000,2013-10-27 00:00:00.000
11053,Joe A Navarro,Individual,Essen,Subscriber,2013-06-19 00:00:00.000,2013-06-19 00:00:00.000
11054,Julia E Jackson,Individual,Bellingham,Subscriber,2011-07-06 00:00:00.000,2013-10-30 00:00:00.000
11055,Judith R White,Individual,Victoria,Non-subscriber,2011-07-03 00:00:00.000,2013-11-07 00:00:00.000
11056,Julia T Harris,Individual,Burien,Subscriber,2011-07-29 00:00:00.000,2013-10-31 00:00:00.000
11057,Julia Martin,Individual,Renton,Non-subscriber,2011-07-25 00:00:00.000,2013-10-21 00:00:00.000
11058,Joe Gutierrez,Individual,Offenbach,Non-subscriber,2011-08-09 00:00:00.000,2013-11-04 00:00:00.000
11059,Julia Thompson,Individual,West Covina,Subscriber,2013-07-21 00:00:00.000,2013-08-16 00:00:00.000
11060,Julia B Garcia,Individual,Portland,Subscriber,2011-08-19 00:00:00.000,2013-11-25 00:00:00.000
11061,Joe A Torres,Individual,Beverly Hills,Subscriber,2011-08-13 00:00:00.000,2013-11-14 00:00:00.000
11062,Joe A Dominguez,Individual,Dresden,Subscriber,2013-06-09 00:00:00.000,2013-06-09 00:00:00.000
11063,Julia Martinez,Individual,Sedro Woolley,Non-subscriber,2013-06-14 00:00:00.000,2013-06-14 00:00:00.000
11064,Marshall Gao,Individual,London,Non-subscriber,2013-06-27 00:00:00.000,2013-06-27 00:00:00.000
11065,Joe Gill,Individual,Paris,Subscriber,2013-07-13 00:00:00.000,2014-06-12 00:00:00.000
11066,Julia Robinson,Individual,Victoria,Subscriber,2013-10-31 00:00:00.000,2014-02-19 00:00:00.000
11067,Joe C Vazquez,Individual,Lavender Bay,Subscriber,2014-01-18 00:00:00.000,2014-06-14 00:00:00.000
11068,Joe Blanco,Individual,Oxon,Subscriber,2013-09-30 00:00:00.000,2014-03-10 00:00:00.000
11069,Julia A Rodriguez,Individual,Cliffside,Non-subscriber,2011-09-17 00:00:00.000,2013-11-04 00:00:00.000
11070,Julia Lewis,Individual,Spokane,Non-subscriber,2011-09-28 00:00:00.000,2013-11-26 00:00:00.000
11071,Joe M Serrano,Individual,London,Non-subscriber,2013-08-01 00:00:00.000,2014-05-03 00:00:00.000
11072,Julia Lee,Individual,Bothell,Non-subscriber,2011-08-31 00:00:00.000,2013-11-15 00:00:00.000
11072,Julia Lee,Individual,Seattle,Non-subscriber,2011-08-31 00:00:00.000,2013-11-15 00:00:00.000
11073,Joe Ramos,Individual,Hawthorne,Non-subscriber,2013-08-23 00:00:00.000,2014-01-21 00:00:00.000
11074,Joe L Carlson,Individual,Warrington,Non-subscriber,2013-08-23 00:00:00.000,2013-10-27 00:00:00.000
11075,Julia Walker,Individual,Renton,Subscriber,2011-09-28 00:00:00.000,2013-11-24 00:00:00.000
11076,Julia L Hall,Individual,Lynnwood,Subscriber,2011-09-21 00:00:00.000,2013-11-21 00:00:00.000
11077,Jennifer A Smith,Individual,Bellingham,Non-subscriber,2011-09-15 00:00:00.000,2013-11-12 00:00:00.000
11078,Joe Sanz,Individual,Burlingame,Subscriber,2013-07-18 00:00:00.000,2014-06-30 00:00:00.000
11079,Jennifer F Johnson,Individual,Burlingame,Subscriber,2013-08-15 00:00:00.000,2014-06-03 00:00:00.000
11080,Joe Rubio,Individual,Beverly Hills,Non-subscriber,2011-09-10 00:00:00.000,2013-11-23 00:00:00.000
11081,Jennifer E Williams,Individual,Newcastle upon Tyne,Subscriber,2013-07-15 00:00:00.000,2013-09-13 00:00:00.000
11082,Roy M Suri,Individual,Port Macquarie,Subscriber,2013-06-24 00:00:00.000,2014-04-08 00:00:00.000
11083,Jennifer L Jones,Individual,Paris,Non-subscriber,2013-06-08 00:00:00.000,2014-04-10 00:00:00.000
11084,Roy Kapoor,Individual,Hamburg,Subscriber,2013-06-06 00:00:00.000,2014-04-23 00:00:00.000
11085,Jennifer A Brown,Individual,Tacoma,Subscriber,2014-05-08 00:00:00.000,2014-06-10 00:00:00.000
11086,Roy R Chandra,Individual,York,Subscriber,2013-12-02 00:00:00.000,2014-05-23 00:00:00.000
11087,Jennifer A Davis,Individual,Tacoma,Subscriber,2013-07-28 00:00:00.000,2014-01-09 00:00:00.000
11088,Jennifer Miller,Individual,Corvallis,Non-subscriber,2013-06-15 00:00:00.000,2014-04-14 00:00:00.000
11089,Jennifer Wilson,Individual,La Jolla,Non-subscriber,2013-05-31 00:00:00.000,2014-04-20 00:00:00.000
11090,Jennifer A Moore,Individual,Westminster,Subscriber,2012-01-07 00:00:00.000,2014-04-23 00:00:00.000
11091,Jennifer Taylor,Individual,Melton,Non-subscriber,2013-07-01 00:00:00.000,2014-06-10 00:00:00.000
11092,Roy A Patel,Individual,London,Non-subscriber,2011-09-08 00:00:00.000,2013-11-21 00:00:00.000
11093,Jennifer M Anderson,Individual,National City,Non-subscriber,2011-09-07 00:00:00.000,2013-11-08 00:00:00.000
11094,Jennifer Thomas,Individual,Olympia,Non-subscriber,2013-09-07 00:00:00.000,2014-06-13 00:00:00.000
11095,Roy Vance,Individual,Frankfurt,Non-subscriber,2011-09-01 00:00:00.000,2013-11-25 00:00:00.000
11096,Jennifer Jackson,Individual,Woodburn,Subscriber,2011-09-11 00:00:00.000,2013-12-30 00:00:00.000
11097,Roy P Malhotra,Individual,Lancaster,Subscriber,2011-09-04 00:00:00.000,2013-12-24 00:00:00.000
11098,Jennifer S White,Individual,Oak Bay,Subscriber,2013-07-14 00:00:00.000,2014-03-18 00:00:00.000
11099,Jennifer R Harris,Individual,Seattle,Non-subscriber,2011-09-07 00:00:00.000,2013-12-01 00:00:00.000
11100,Roy J Sai,Individual,Leeds,Subscriber,2011-09-16 00:00:00.000,2014-01-07 00:00:00.000
11101,Jennifer P Thompson,Individual,Mill Valley,Subscriber,2011-09-29 00:00:00.000,2013-11-29 00:00:00.000
11102,Jennifer Garcia,Individual,Los Angeles,Subscriber,2013-12-16 00:00:00.000,2014-05-11 00:00:00.000
11103,Roy W Arun,Individual,Oxon,Subscriber,2011-09-15 00:00:00.000,2013-11-06 00:00:00.000
11104,Jennifer L Robinson,Individual,Royal Oak,Subscriber,2011-10-04 00:00:00.000,2013-11-15 00:00:00.000
11105,Jennifer Clark,Individual,San Carlos,Non-subscriber,2011-10-14 00:00:00.000,2013-11-05 00:00:00.000
11106,Jennifer T Rodriguez,Individual,Spring Valley,Subscriber,2011-10-18 00:00:00.000,2013-11-15 00:00:00.000
11107,Roy Madan,Individual,Hawthorne,Non-subscriber,2011-10-01 00:00:00.000,2013-11-21 00:00:00.000
11108,Jennifer Lewis,Individual,Daly City,Non-subscriber,2011-10-03 00:00:00.000,2013-11-23 00:00:00.000
11109,Roy Srini,Individual,Melbourne,Non-subscriber,2011-10-10 00:00:00.000,2013-11-24 00:00:00.000
11110,Jennifer R Lee,Individual,Lebanon,Non-subscriber,2011-10-01 00:00:00.000,2014-01-20 00:00:00.000
11111,Jennifer Walker,Individual,Portland,Subscriber,2011-10-20 00:00:00.000,2014-01-22 00:00:00.000
11112,Marshall J Liang,Individual,Runcorn,Subscriber,2011-10-25 00:00:00.000,2014-02-02 00:00:00.000
11113,Roy Saunders,Individual,Boulogne-sur-Mer,Subscriber,2013-07-04 00:00:00.000,2013-09-21 00:00:00.000
11114,Jennifer T Hall,Individual,Woodburn,Non-subscriber,2013-08-18 00:00:00.000,2014-05-28 00:00:00.000
11115,Karen E Smith,Individual,Frankfurt,Non-subscriber,2013-07-13 00:00:00.000,2014-06-04 00:00:00.000
11116,Roy M Rana,Individual,Gloucestershire,Non-subscriber,2013-08-15 00:00:00.000,2014-03-18 00:00:00.000
11117,Kaitlyn L Johnson,Individual,Downey,Non-subscriber,2011-10-06 00:00:00.000,2013-11-25 00:00:00.000
11118,Roy Raman,Individual,Goulburn,Non-subscriber,2013-12-10 00:00:00.000,2014-06-28 00:00:00.000
11119,Roy Subram,Individual,Geelong,Non-subscriber,2013-07-06 00:00:00.000,2014-04-25 00:00:00.000
11120,Kaitlyn A Williams,Individual,Novato,Non-subscriber,2011-10-14 00:00:00.000,2014-02-19 00:00:00.000
11121,Kaitlyn Jones,Individual,Everett,Subscriber,2013-11-24 00:00:00.000,2014-04-06 00:00:00.000
11122,Roy Mehta,Individual,Kiel,Subscriber,2013-07-24 00:00:00.000,2014-01-22 00:00:00.000
11123,Kaitlyn Brown,Individual,Gold Coast,Non-subscriber,2013-09-17 00:00:00.000,2014-06-27 00:00:00.000
11124,Roy H Garcia,Individual,Wollongong,Non-subscriber,2011-10-05 00:00:00.000,2013-11-18 00:00:00.000
11125,Kaitlyn Miller,Individual,Long Beach,Subscriber,2013-07-03 00:00:00.000,2013-12-03 00:00:00.000
11126,Roy S Fernandez,Individual,York,Subscriber,2011-10-28 00:00:00.000,2014-04-05 00:00:00.000
11127,Kaitlyn Wilson,Individual,Imperial Beach,Non-subscriber,2013-09-10 00:00:00.000,2014-03-03 00:00:00.000
11128,Roy I Lopez,Individual,München,Subscriber,2013-11-19 00:00:00.000,2014-01-12 00:00:00.000
11129,Kaitlyn Moore,Individual,Burien,Subscriber,2012-01-06 00:00:00.000,2013-06-11 00:00:00.000
11130,Roy J Martinez,Individual,Gold Coast,Subscriber,2014-05-11 00:00:00.000,2014-05-11 00:00:00.000
11131,Kaitlyn L Taylor,Individual,Los Angeles,Non-subscriber,2014-03-20 00:00:00.000,2014-06-25 00:00:00.000
11132,Kaitlyn H Anderson,Individual,Watford,Subscriber,2013-09-09 00:00:00.000,2013-09-09 00:00:00.000
11133,Kaitlyn Thomas,Individual,Oregon City,Non-subscriber,2014-06-01 00:00:00.000,2014-06-01 00:00:00.000
11134,Marshall C Guo,Individual,Concord,Subscriber,2011-10-03 00:00:00.000,2014-04-05 00:00:00.000
11135,Roy M Gonzalez,Individual,East Brisbane,Subscriber,2013-09-18 00:00:00.000,2013-09-18 00:00:00.000
11136,Roy Sanchez,Individual,Eilenburg,Non-subscriber,2013-06-05 00:00:00.000,2013-06-05 00:00:00.000
11137,Kaitlyn Jackson,Individual,Glendale,Subscriber,2013-12-31 00:00:00.000,2014-06-22 00:00:00.000
11138,Kaitlyn White,Individual,Grossmont,Non-subscriber,2014-02-19 00:00:00.000,2014-06-02 00:00:00.000
11139,Kaitlyn Harris,Individual,Lynnwood,Non-subscriber,2014-02-14 00:00:00.000,2014-03-19 00:00:00.000
11140,Roy Perez,Individual,Essen,Non-subscriber,2013-08-19 00:00:00.000,2013-08-19 00:00:00.000
11141,Kaitlyn F Martin,Individual,Sedro Woolley,Subscriber,2013-10-16 00:00:00.000,2014-02-28 00:00:00.000
11142,Kaitlyn L Thompson,Individual,Sooke,Non-subscriber,2013-07-16 00:00:00.000,2014-06-15 00:00:00.000
11143,Roy Martin,Individual,Brisbane,Non-subscriber,2013-11-15 00:00:00.000,2014-05-21 00:00:00.000
11144,Roy L Ruiz,Individual,London,Subscriber,2013-06-27 00:00:00.000,2013-06-27 00:00:00.000
11145,Kaitlyn J Garcia,Individual,N. Vancouver,Subscriber,2013-06-27 00:00:00.000,2013-06-27 00:00:00.000
11146,Kaitlyn S Martinez,Individual,Everett,Subscriber,2013-07-08 00:00:00.000,2014-02-15 00:00:00.000
11147,Roy R Hernandez,Individual,Beaverton,Non-subscriber,2011-10-13 00:00:00.000,2014-03-18 00:00:00.000
11148,Kaitlyn Robinson,Individual,Lemon Grove,Non-subscriber,2013-08-07 00:00:00.000,2014-05-05 00:00:00.000
11149,Kaitlyn W Clark,Individual,Beaverton,Subscriber,2013-11-04 00:00:00.000,2014-05-01 00:00:00.000
11150,Roy A Alvarez,Individual,Hawthorne,Subscriber,2013-08-27 00:00:00.000,2013-12-15 00:00:00.000
11151,Kaitlyn Rodriguez,Individual,Corvallis,Subscriber,2011-10-15 00:00:00.000,2014-03-22 00:00:00.000
11152,Damien C Shen,Individual,Oxford,Subscriber,2013-06-11 00:00:00.000,2013-06-11 00:00:00.000
11153,Marshall R He,Individual,Kiel,Non-subscriber,2013-08-29 00:00:00.000,2013-08-29 00:00:00.000
11154,Roy Jimenez,Individual,London,Subscriber,2013-06-12 00:00:00.000,2013-06-12 00:00:00.000
11155,Roy J Moreno,Individual,Hawthorne,Non-subscriber,2013-06-08 00:00:00.000,2013-06-08 00:00:00.000
11156,Kaitlyn Lewis,Individual,Sooke,Non-subscriber,2013-06-10 00:00:00.000,2013-06-10 00:00:00.000
11157,Kaitlyn B Lee,Individual,Beaverton,Subscriber,2013-12-24 00:00:00.000,2014-02-11 00:00:00.000
11158,Roy Alonso,Individual,Bellflower,Non-subscriber,2013-06-21 00:00:00.000,2013-06-21 00:00:00.000
11159,Roy C Romero,Individual,London,Non-subscriber,2014-02-08 00:00:00.000,2014-04-09 00:00:00.000
11160,Roy T Navarro,Individual,Braunschweig,Subscriber,2013-07-24 00:00:00.000,2013-07-24 00:00:00.000
11161,Karen Walker,Individual,Long Beach,Subscriber,2013-11-01 00:00:00.000,2014-04-13 00:00:00.000
11162,Kaitlyn Hall,Individual,Tacoma,Non-subscriber,2013-07-21 00:00:00.000,2013-07-21 00:00:00.000
11163,Roy Torres,Individual,Paris,Non-subscriber,2013-10-01 00:00:00.000,2014-01-05 00:00:00.000
11164,Morgan W Smith,Individual,Hamburg,Subscriber,2013-09-27 00:00:00.000,2014-01-05 00:00:00.000
11165,Morgan E Johnson,Individual,Bendigo,Subscriber,2013-10-25 00:00:00.000,2013-11-05 00:00:00.000
11166,Morgan C Williams,Individual,Langley,Non-subscriber,2014-03-16 00:00:00.000,2014-05-08 00:00:00.000
11167,Morgan C Jones,Individual,Dunkerque,Non-subscriber,2013-06-09 00:00:00.000,2014-04-30 00:00:00.000
11168,Roy C Dominguez,Individual,North Sydney,Non-subscriber,2013-06-17 00:00:00.000,2014-04-18 00:00:00.000
11169,Roy Gill,Individual,Matraville,Subscriber,2013-10-26 00:00:00.000,2014-02-24 00:00:00.000
11170,Morgan Brown,Individual,Victoria,Non-subscriber,2014-01-26 00:00:00.000,2014-05-31 00:00:00.000
11171,Roy Vazquez,Individual,Bendigo,Non-subscriber,2012-01-20 00:00:00.000,2014-04-09 00:00:00.000
11172,Roy D Blanco,Individual,Beaverton,Subscriber,2013-10-03 00:00:00.000,2014-06-13 00:00:00.000
11173,Roy M Serrano,Individual,Sulzbach Taunus,Subscriber,2013-08-02 00:00:00.000,2014-05-26 00:00:00.000
11174,Roy A Ramos,Individual,Melton,Subscriber,2013-12-13 00:00:00.000,2013-12-25 00:00:00.000
11175,Morgan J Davis,Individual,Warrnambool,Subscriber,2012-01-28 00:00:00.000,2014-04-05 00:00:00.000
11176,Morgan C Miller,Individual,Colma,Subscriber,2013-07-05 00:00:00.000,2014-06-29 00:00:00.000
11177,Roy C Carlson,Individual,Warrnambool,Subscriber,2013-08-29 00:00:00.000,2014-03-16 00:00:00.000
11178,Morgan T Wilson,Individual,Hamburg,Subscriber,2013-07-24 00:00:00.000,2013-10-26 00:00:00.000
11179,Roy Sullivan,Individual,Verrieres Le Buisson,Non-subscriber,2013-08-12 00:00:00.000,2014-06-11 00:00:00.000
11180,Morgan D Taylor,Individual,Milwaukie,Subscriber,2013-08-17 00:00:00.000,2014-02-25 00:00:00.000
11181,Roy R Sanz,Individual,Darlinghurst,Non-subscriber,2013-10-07 00:00:00.000,2013-12-11 00:00:00.000
11182,Morgan J Anderson,Individual,Lemon Grove,Non-subscriber,2014-01-28 00:00:00.000,2014-06-07 00:00:00.000
11183,Morgan Thomas,Individual,Spring Valley,Non-subscriber,2013-09-30 00:00:00.000,2013-11-13 00:00:00.000
11184,Roy C Rubio,Individual,Roubaix,Non-subscriber,2014-01-10 00:00:00.000,2014-03-11 00:00:00.000
11185,Morgan P Jackson,Individual,La Jolla,Subscriber,2013-07-24 00:00:00.000,2014-06-28 00:00:00.000
11186,Ruben D Kapoor,Individual,South Melbourne,Subscriber,2014-03-20 00:00:00.000,2014-06-09 00:00:00.000
11187,Morgan Harris,Individual,Downey,Subscriber,2013-09-03 00:00:00.000,2014-01-06 00:00:00.000
11188,Marshall H Hu,Individual,East Brisbane,Subscriber,2014-04-03 00:00:00.000,2014-06-23 00:00:00.000
11189,Ruben Chandra,Individual,Croix,Subscriber,2012-01-26 00:00:00.000,2013-07-08 00:00:00.000
11190,Ruben I Patel,Individual,Cloverdale,Non-subscriber,2014-01-28 00:00:00.000,2014-06-18 00:00:00.000
11191,Morgan Martin,Individual,Newton,Subscriber,2012-01-11 00:00:00.000,2014-04-08 00:00:00.000
11192,Morgan Q Thompson,Individual,Oxford,Non-subscriber,2013-11-23 00:00:00.000,2014-02-25 00:00:00.000
11193,Morgan R Garcia,Individual,Lincoln Acres,Subscriber,2013-07-28 00:00:00.000,2014-01-18 00:00:00.000
11194,Ruben Vance,Individual,Hamburg,Non-subscriber,2013-08-13 00:00:00.000,2014-05-10 00:00:00.000
11195,Morgan Robinson,Individual,Beaverton,Non-subscriber,2013-09-14 00:00:00.000,2014-03-24 00:00:00.000
11196,Morgan Clark,Individual,Grossmont,Non-subscriber,2013-08-03 00:00:00.000,2014-02-24 00:00:00.000
11197,Ruben M Malhotra,Individual,Seaford,Non-subscriber,2013-10-02 00:00:00.000,2013-12-20 00:00:00.000
11198,Morgan Rodriguez,Individual,Haney,Non-subscriber,2013-07-08 00:00:00.000,2013-07-16 00:00:00.000
11199,Ruben A Sai,Individual,Paris La Defense,Subscriber,2013-08-18 00:00:00.000,2014-03-19 00:00:00.000
11200,Morgan Lewis,Individual,Victoria,Subscriber,2013-07-10 00:00:00.000,2014-06-22 00:00:00.000
11201,Morgan Lee,Individual,Marysville,Subscriber,2013-12-01 00:00:00.000,2014-02-09 00:00:00.000
11202,Ruben Arun,Individual,Saint-Denis,Subscriber,2014-02-15 00:00:00.000,2014-02-21 00:00:00.000
11203,Morgan C Walker,Individual,W. Linn,Non-subscriber,2013-07-23 00:00:00.000,2014-05-13 00:00:00.000
11204,Ruben M Madan,Individual,Paris,Subscriber,2014-01-09 00:00:00.000,2014-04-12 00:00:00.000
11205,Morgan Hall,Individual,Shawnee,Non-subscriber,2013-12-27 00:00:00.000,2014-03-10 00:00:00.000
11206,Isabella F Smith,Individual,San Gabriel,Non-subscriber,2013-10-11 00:00:00.000,2013-10-30 00:00:00.000
11207,Ruben Srini,Individual,Cliffside,Non-subscriber,2013-07-03 00:00:00.000,2014-03-20 00:00:00.000
11208,Isabella P Johnson,Individual,Glendale,Subscriber,2013-08-04 00:00:00.000,2014-02-17 00:00:00.000
11209,Isabella Williams,Individual,Lebanon,Subscriber,2013-08-25 00:00:00.000,2014-06-24 00:00:00.000
11210,Isabella Jones,Individual,National City,Non-subscriber,2013-10-06 00:00:00.000,2014-02-06 00:00:00.000
11211,Ruben Prasad,Individual,Beverly Hills,Subscriber,2013-07-04 00:00:00.000,2014-06-09 00:00:00.000
11212,Marshall K Cai,Individual,Saarbrücken,Non-subscriber,2013-07-02 00:00:00.000,2014-06-19 00:00:00.000
11213,Ruben A Sara,Individual,Hervey Bay,Non-subscriber,2013-08-28 00:00:00.000,2014-02-09 00:00:00.000
11214,Ruben Rana,Individual,Silverwater,Subscriber,2014-01-14 00:00:00.000,2014-04-21 00:00:00.000
11215,Isabella L Brown,Individual,Port Hammond,Non-subscriber,2013-07-18 00:00:00.000,2014-05-17 00:00:00.000
11216,Isabella A Davis,Individual,Brisbane,Non-subscriber,2012-01-15 00:00:00.000,2013-07-08 00:00:00.000
11217,Ruben Raman,Individual,Cranbourne,Non-subscriber,2012-01-10 00:00:00.000,2013-07-17 00:00:00.000
11218,Ruben Subram,Individual,Beverly Hills,Subscriber,2013-07-31 00:00:00.000,2014-06-06 00:00:00.000
11219,Ruben Mehta,Individual,Bottrop,Non-subscriber,2014-03-31 00:00:00.000,2014-06-26 00:00:00.000
11220,Ruben Garcia,Individual,Rockhampton,Subscriber,2013-08-14 00:00:00.000,2014-05-15 00:00:00.000
11221,Ruben Fernandez,Individual,W. York,Subscriber,2013-09-07 00:00:00.000,2014-03-19 00:00:00.000
11222,Ruben Lopez,Individual,Roncq,Non-subscriber,2014-04-03 00:00:00.000,2014-04-30 00:00:00.000
11223,Isabella B Moore,Individual,Bellingham,Non-subscriber,2013-07-01 00:00:00.000,2014-06-08 00:00:00.000
11224,Isabella L Taylor,Individual,Palo Alto,Subscriber,2012-01-07 00:00:00.000,2014-05-05 00:00:00.000
11225,Isabella Anderson,Individual,Oak Bay,Non-subscriber,2013-11-22 00:00:00.000,2014-02-06 00:00:00.000
11226,Ruben A Gonzalez,Individual,London,Subscriber,2013-07-24 00:00:00.000,2013-08-31 00:00:00.000
11227,Isabella M Thomas,Individual,Metchosin,Subscriber,2012-01-03 00:00:00.000,2013-07-13 00:00:00.000
11228,Marshall M Zeng,Individual,Matraville,Subscriber,2014-03-27 00:00:00.000,2014-06-19 00:00:00.000
11229,Ruben Rodriguez,Individual,Melbourne,Subscriber,2013-12-27 00:00:00.000,2014-06-27 00:00:00.000
11230,Isabella L Jackson,Individual,Grossmont,Non-subscriber,2013-12-16 00:00:00.000,2014-05-11 00:00:00.000
11231,Ruben S Sanchez,Individual,Oxon,Non-subscriber,2013-07-13 00:00:00.000,2014-04-14 00:00:00.000
11232,Isabella I White,Individual,Chula Vista,Non-subscriber,2014-02-20 00:00:00.000,2014-04-15 00:00:00.000
11233,Isabella Harris,Individual,Shawnee,Subscriber,2013-07-11 00:00:00.000,2013-11-08 00:00:00.000
11234,Ruben Perez,Individual,Concord,Non-subscriber,2013-07-11 00:00:00.000,2014-02-19 00:00:00.000
